date,retweet,text,author
2016-10-13,False,Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now http//ofa.bo/2dZNTRx #ActOnClimate,BarackObama
2016-10-13,False,The American Bar Association gave Judge Garland its highest rating. Senate leaders #DoYourJob and fill the #SCOTUS vacancy.,BarackObama
2016-10-13,False,We need a fully functional Supreme Court. Editorial boards across the country agree http//ofa.bo/2dCG7KU #DoYourJob,BarackObama
2016-10-13,False,"Cynics, take note When we #ActOnClimate, we build a stronger future.",BarackObama
2016-10-13,False,Thats how we will overcome the challenges we face by unleashing the power of all of us for all of us. Read morehttp//ofa.bo/2dNlZZy,BarackObama
2016-10-13,False,Check out the most recent editorial boards calling on Senate leaders to vote on Judge Garland http//ofa.bo/2dNKl4h #DoYourJob,BarackObama
2016-10-13,False,Senate leaders political games are handicapping the Supreme Courtand judgeships across the country. http//ofa.bo/2dVVHno #DoYourJob,BarackObama
2016-10-12,False,Support the bold steps were taking against climate change. Say youre ready to #ActOnClimate http//ofa.bo/2dcUwww,BarackObama
2016-10-12,False,"Last week, more than 190 countries reached a landmark deal to reduce carbon pollution from aviation. http//ofa.bo/2dcG2Nb #ActOnClimate",BarackObama
2016-10-12,False,Lets leave our children and grandchildren a planet thats healthier than the one we have today. #ActOnClimate,BarackObama
2016-10-12,False,Climate changes effects are devastating. Denying the science behind it does nothing to help. http//ofa.bo/2d7ppaq #ActOnClimate,BarackObama
2016-10-11,False,"On behalf of Michelle and our family, Gmar Chatimah Tovah. President Obama #YomKippur",BarackObama
2016-10-11,False,LGBT individuals deserve to know their country stands beside them. President Obama #NationalComingOutDay,BarackObama
2016-10-11,False,The Supreme Court must remain above politics. Judge Garland needs a hearing and a vote. #DoYourJob,BarackObama
2016-10-11,False,"Judge Garland is just as qualified now as he was in 1997, Senate leaders. Its time to #DoYourJob.",BarackObama
2016-10-11,False,Dispel misinformation with facts from the @OFA Truth Team.http//ofa.bo/2dIq9AB,BarackObama
2016-10-07,False,"The uninsured rate is the lowest its been in decades, thanks to #Obamacare. Spread the word. http//ofa.bo/2dLpd09",BarackObama
2016-10-07,False,Deadline tonighthelp rein in payday lenders that succeed by targeting vulnerable Americans http//ofa.bo/2cXFmzM #StopTheDebtTrap,BarackObama
2016-10-07,False,The Obama administration and @CFPB are working to protect consumers and #StopTheDebtTrap.,BarackObama
2016-10-07,False,"Our economy is on a better, stronger course.http//ofa.bo/2dkzDAj",BarackObama
2016-10-04,False,"Weve come a long way, but the fight for fairness and an economy that works for everyone continues.",BarackObama
