date,retweet,text,author
2016-10-07,False,Here is my statement.,DonaldTrump
2016-10-10,False,Is this really America? Terrible!,DonaldTrump
2016-10-08,False,"The media and establishment want me out of the race so badly   I WILL NEVER DROP OUT OF THE RACE, WILL NEVER LET MY SUPPORTERS DOWN! #MAGA",DonaldTrump
2016-10-11,False,"Wow, @CNN Town Hall questions were given to Crooked Hillary Clinton in advance of big debates against Bernie Sanders. Hillary  CNN FRAUD!",DonaldTrump
2016-10-10,False,Debate polls look great  thank you!#MAGA #AmericaFirst,DonaldTrump
2016-10-10,False,WHAT THEY ARE SAYING ABOUT THE CLINTON CAMPAIGNS ANTICATHOLIC BIGOTRY http//bit.ly/2dcbtvkCrooked,DonaldTrump
2016-10-12,False,"Thank you to our U.S. Navy for protecting our country, both in times of peace  war. Together, WE WILL MAKE AMERICA SAFE  GREAT AGAIN!",DonaldTrump
2016-10-12,False,Very little pickup by the dishonest media of incredible information provided by WikiLeaks. So dishonest! Rigged system!,DonaldTrump
2016-10-11,False,Thank you Florida a MOVEMENT that has never been seen before and will never be seen again. Lets get out  #VoteTrumpPence16 on 11/8! #MAGA,DonaldTrump
2016-10-11,False,"The very foul mouthed Sen. John McCain begged for my support during his  primary I gave, he won, then dropped me over locker room remarks!",DonaldTrump
2016-10-11,False,Disloyal Rs are far more difficult than Crooked Hillary. They come at you from all sides. They dont know how to win  I will teach them!,DonaldTrump
2016-10-11,False,With the exception of cheating Bernie out of the nom the Dems have always proven to be far more loyal to each other than the Republicans!,DonaldTrump
2016-10-11,False,It is so nice that the shackles have been taken off me and I can now fight for America the way I want to.,DonaldTrump
2016-10-11,False,"Our very weak and ineffective leader, Paul Ryan, had a bad conference call where his members went wild at his disloyalty.",DonaldTrump
2016-10-11,False,"Despite winning the second debate in a landslide every poll, it is hard to do well when Paul Ryan and others give zero support!",DonaldTrump
2016-10-10,False,"Wow, @CNN got caught fixing their focus group in order to make Crooked Hillary look better. Really pathetic and totally dishonest!",DonaldTrump
2016-10-09,False,.@HillaryClinton is NOT above the law!#Debates2016,DonaldTrump
2016-10-09,False,My team of deplorables will be taking over my Twitter account for tonights #debate#MakeAmericaGreatAgain,DonaldTrump
2016-10-09,False,So many selfrighteous hypocrites. Watch their poll numbers  and elections  go down!,DonaldTrump
2016-10-09,True,"@maidaa17 @realDonaldTrump GOP traitors! Not supporting U is voting for her, destroying America.",DonaldTrump
2016-10-04,False,"Wow, did you just hear Bill Clintons statement on how bad ObamaCare is. Hillary not happy. As I have been saying, REPEAL AND REPLACE!",DonaldTrump
2016-10-04,False,I will be watching the great Governor @MikePence and live tweeting the VP debate tonight starting at 830pm est! Enjoy!,DonaldTrump
2016-10-02,False,Just announced that Iraq U.S. is preparing for battle to reclaim Mosul. Why do they have to announce this? Makes mission much harder!,DonaldTrump
2016-10-02,False,"Melania and I extend our warmest greetings to those observing Rosh Hashanah here in the United States, in Israel, and around the world.",DonaldTrump
2016-10-02,False,Bernie should pull his endorsement of Crooked Hillary after she decieved him and then attacked him and his supporters.,DonaldTrump
2016-10-02,True,"@trumplican2016 .@realDonaldTrump  There will be MASSIVE turnout for you,  Mr. Trump  These polls dont register the pulse of the PEOPLE!",DonaldTrump
2016-10-02,False,I have created tens of thousands of jobs and will bring back great American prosperity. Hillary has only created jobs at the FBI and DOJ!,DonaldTrump
2016-10-02,False,I know our complex tax laws better than anyone who has ever run for president and am the only one who can fix them. #failing@nytimes,DonaldTrump
2016-10-01,False,"Wow, just saw the really bad @CNN ratings. People dont want to watch bad product that only builds up Crooked Hillary.",DonaldTrump
2016-10-01,False,The socalled Commission on Presidential Debates admitted to us that the DJT audio  sound level was very bad. So why didnt they fix it?,DonaldTrump
2016-10-01,False,"Crooked H is nasty to Sanders supporters behind closed doors. Owned by Wall St and Politicians, HRC is not with you.http//www.politico.com/story/2016/09/hillaryclintonberniesanderssupportersaudioleak228997",DonaldTrump
2016-09-30,False,I believe in #AmericaFirst and that means FAMILY FIRST! My childcare plan reflects the needs of modern workingclass families. #ImWithYou,DonaldTrump
2016-09-30,False,"For those few people knocking me for tweeting at three oclock in the morning, at least you know I will be there, awake, to answer the call!",DonaldTrump
2016-09-30,False,"Why isnt Hillary 50 points ahead? Maybe its the email scandal, policies that spread ISIS, or calling millions of Americans deplorables!",DonaldTrump
2016-09-30,False,The people are really smart in cancelling subscriptions to the Dallas  Arizona papers  now USA Today will lose readers! The people get it!,DonaldTrump
2016-09-30,False,"Remember, dont believe sources said by the VERY dishonest media. If they dont name the sources, the sources dont exist.",DonaldTrump
2016-09-30,False,"Wow, Crooked Hillary was duped and used by my worst Miss U. Hillary floated her as an angel without checking her past, which is terrible!",DonaldTrump
2016-09-30,False,"Anytime you see a story about me or my campaign saying sources said, DO NOT believe it. There are no sources, they are just made up lies!",DonaldTrump
2016-09-29,False,"Wow, did you see how badly @CNN Clinton News Network is doing in the ratings. With people like @donlemon, who could expect any more?",DonaldTrump
2016-09-29,False,"While Hillary profits off the rigged system, I am fighting for you! Remember the simple phrase #FollowTheMoney https//www.facebook.com/DonaldTrump/videos/10157784190830725/",DonaldTrump
2016-09-29,False,My condolences to those involved in todays horrible accident in NJ and my deepest gratitude to all of the amazing first responders.,DonaldTrump
2016-09-28,False,"Every online poll, Time Magazine, Drudge etc., has me winning the debate. Thank you to Fox  Friends for so reporting!",DonaldTrump
2016-09-27,False,My supporters are the best! 18 million from hardworking people who KNOW what we can be again! Shatter the recordhttp//bit.ly/shatterrecords,DonaldTrump
2016-09-27,False,"Unbelievable evening in Melbourne, Florida w/ 15,000 supporters and an additional 12,000 who could not get in. Thank you! #TrumpTrain #MAGA",DonaldTrump
2016-09-27,False,Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou,DonaldTrump
2016-09-27,False,"In the last 24 hrs. we have raised over 13M from online donations and National Call Day, and were still going! Thank you America! #MAGA",DonaldTrump
2016-09-27,False,"Well, now theyre saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!",DonaldTrump
2016-09-27,False,Thank you! #TrumpWon #MAGAhttp//www.dailymail.co.uk/news/article3809204/MostsnappollsTrumpwinningdebatelandslide.html,DonaldTrump
2016-09-27,False,Hillarys been failing for 30 years in not getting the job done  it will never change.,DonaldTrump
